Reference Location:,"Knoxville, TN",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,62,68,74,78,85,92,0.429,0.104,0.117,0.0945,0.2555,11.2,0,0,2.9,0,0.259,0.000,0.5,3.5,8.5
First Week of September,1,60,67,74,76,84,92,0.429,0.104,0.117,0.0945,0.2555,8,0,0,2.9,0,0.363,0.000,0.5,4,9
Second Week of September,2,58,65,72,76,83,90,0.429,0.104,0.117,0.0945,0.2555,8,0,0,2.9,0,0.363,0.000,0.5,4,9
Third Week of September,3,54,63,72,73,81,89,0.429,0.104,0.117,0.0945,0.2555,8,0,0,2.9,0,0.363,0.000,0.5,4,9
Fourth Week of September,4,50,60,70,69,78,87,0.429,0.104,0.117,0.0945,0.2555,8,0,0,2.9,0,0.363,0.000,0.5,4,9
September/October Transition,5,46,57,68,67,76,85,0.429,0.104,0.117,0.0945,0.2555,8,0,0,2.9,0,0.363,0.000,0.5,4,9
First Week of October,6,43,54,65,63,73,83,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.6,0,0.366,0.000,0.5,4.5,9.5
Second Week of October,7,40,52,64,61,71,81,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.6,0,0.366,0.000,0.5,4.5,9.5
Third Week of October,8,38,50,62,57,68,79,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.6,0,0.366,0.000,0.5,4.5,9.5
October/November Transition,9,35,47,59,55,66,77,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.6,0,0.366,0.000,0.5,4.5,9.5
First Week of November,10,33,45,57,51,63,75,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0.1,0.432,0.000,0.5,5,11
Second Week of November,11,31,43,55,49,61,73,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0.1,0.432,0.000,0.5,5,11
Third Week of November,12,29,42,55,45,58,71,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0.1,0.432,0.000,0.5,5,11
Fourth Week of November,13,27,40,53,42,55,68,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0.1,0.432,0.000,0.5,5,11
First Week of December,14,26,39,52,39,53,67,0.3102,0.0752,0.0846,0.1431,0.3869,8.7,0.4,0.2,4,0.9,0.460,4.500,0.5,5.3,11.3
Second Week of December,15,24,38,52,38,51,64,0.3102,0.0752,0.0846,0.1431,0.3869,8.7,0.4,0.2,4,0.9,0.460,4.500,0.5,5.3,11.3
Third Week of December,16,23,36,49,36,49,62,0.3102,0.0752,0.0846,0.1431,0.3869,8.7,0.4,0.2,4,0.9,0.460,4.500,0.5,5.3,11.3
Fourth Week of December,17,22,36,50,34,48,62,0.3102,0.0752,0.0846,0.1431,0.3869,8.7,0.4,0.2,4,0.9,0.460,4.500,0.5,5.3,11.3
December/January Transition,18,20,35,50,31,46,61,0.3036,0.0736,0.0828,0.1458,0.3942,7.6,1,0.4,3.7,1.7,0.487,4.250,0.5,5.5,11.5
First Week of January,19,19,34,49,30,45,60,0.3036,0.0736,0.0828,0.1458,0.3942,7.6,1,0.4,3.7,1.7,0.487,4.250,0.5,5.5,11.5
Second Week of January,20,18,33,48,30,45,60,0.3036,0.0736,0.0828,0.1458,0.3942,7.6,1,0.4,3.7,1.7,0.487,4.250,0.5,5.5,11.5
Third Week of January,21,18,33,48,30,45,60,0.3036,0.0736,0.0828,0.1458,0.3942,7.6,1,0.4,3.7,1.7,0.487,4.250,0.5,5.5,11.5
January/February Transition,22,18,33,48,31,46,61,0.3102,0.0752,0.0846,0.1431,0.3869,7.3,0.8,0.2,3.8,1.5,0.521,7.500,0.5,5.8,11.8
First Week of February,23,19,33,47,31,46,61,0.3102,0.0752,0.0846,0.1431,0.3869,7.3,0.8,0.2,3.8,1.5,0.521,7.500,0.5,5.8,11.8
Second Week of February,24,21,35,49,35,49,63,0.3102,0.0752,0.0846,0.1431,0.3869,7.3,0.8,0.2,3.8,1.5,0.521,7.500,0.5,5.8,11.8
Third Week of Februrary,25,22,36,50,36,50,64,0.3102,0.0752,0.0846,0.1431,0.3869,7.3,0.8,0.2,3.8,1.5,0.521,7.500,0.5,5.8,11.8
