Reference Location:,"Memphis, TN",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,65,72,79,80,88,96,0.4554,0.1104,0.1242,0.0837,0.2263,8.2,0,0,2.2,0,0.268,0.000,1.5,6.5,11.5
First Week of September,1,63,71,79,79,87,95,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.6,0,0.361,0.000,2.6,7.6,12.6
Second Week of September,2,60,69,78,79,86,93,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.6,0,0.361,0.000,2.6,7.6,12.6
Third Week of September,3,56,66,76,76,84,92,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.6,0,0.361,0.000,2.6,7.6,12.6
Fourth Week of September,4,52,63,74,72,81,90,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.6,0,0.361,0.000,2.6,7.6,12.6
September/October Transition,5,49,61,73,70,79,88,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.6,0,0.361,0.000,2.6,7.6,12.6
First Week of October,6,46,58,70,66,76,86,0.4356,0.1056,0.1188,0.0918,0.2482,7.5,0,0,3.5,0,0.467,0.000,3.5,8.5,13.5
Second Week of October,7,44,56,68,64,74,84,0.4356,0.1056,0.1188,0.0918,0.2482,7.5,0,0,3.5,0,0.467,0.000,3.5,8.5,13.5
Third Week of October,8,42,54,66,59,71,83,0.4356,0.1056,0.1188,0.0918,0.2482,7.5,0,0,3.5,0,0.467,0.000,3.5,8.5,13.5
October/November Transition,9,39,52,65,56,68,80,0.4356,0.1056,0.1188,0.0918,0.2482,7.5,0,0,3.5,0,0.467,0.000,3.5,8.5,13.5
First Week of November,10,36,50,64,52,65,78,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,4.4,0.1,0.543,0.000,4.5,9.5,15.5
Second Week of November,11,34,48,62,50,63,76,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,4.4,0.1,0.543,0.000,4.5,9.5,15.5
Third Week of November,12,32,46,60,47,60,73,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,4.4,0.1,0.543,0.000,4.5,9.5,15.5
Fourth Week of November,13,31,44,57,43,57,71,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,4.4,0.1,0.543,0.000,4.5,9.5,15.5
First Week of December,14,29,42,55,40,54,68,0.3366,0.0816,0.0918,0.1323,0.3577,7.8,0.3,0.3,4.7,0.9,0.603,3.000,4.9,9.9,15.9
Second Week of December,15,27,41,55,38,52,66,0.3366,0.0816,0.0918,0.1323,0.3577,7.8,0.3,0.3,4.7,0.9,0.603,3.000,4.9,9.9,15.9
Third Week of December,16,25,39,53,35,50,65,0.3366,0.0816,0.0918,0.1323,0.3577,7.8,0.3,0.3,4.7,0.9,0.603,3.000,4.9,9.9,15.9
Fourth Week of December,17,24,38,52,32,48,64,0.3366,0.0816,0.0918,0.1323,0.3577,7.8,0.3,0.3,4.7,0.9,0.603,3.000,4.9,9.9,15.9
December/January Transition,18,22,37,52,30,47,64,0.3366,0.0816,0.0918,0.1323,0.3577,7,0.7,0.5,3.5,1.4,0.500,2.800,5.1,10.1,16.1
First Week of January,19,22,36,50,29,46,63,0.3366,0.0816,0.0918,0.1323,0.3577,7,0.7,0.5,3.5,1.4,0.500,2.800,5.1,10.1,16.1
Second Week of January,20,22,36,50,29,46,63,0.3366,0.0816,0.0918,0.1323,0.3577,7,0.7,0.5,3.5,1.4,0.500,2.800,5.1,10.1,16.1
Third Week of January,21,21,36,51,31,47,63,0.3366,0.0816,0.0918,0.1323,0.3577,7,0.7,0.5,3.5,1.4,0.500,2.800,5.1,10.1,16.1
January/February Transition,22,22,36,50,30,47,64,0.3366,0.0816,0.0918,0.1323,0.3577,7.1,0.5,0.3,3.8,1.5,0.535,5.000,5.4,10.4,16.4
First Week of February,23,22,36,50,31,48,65,0.3366,0.0816,0.0918,0.1323,0.3577,7.1,0.5,0.3,3.8,1.5,0.535,5.000,5.4,10.4,16.4
Second Week of February,24,24,38,52,33,50,67,0.3366,0.0816,0.0918,0.1323,0.3577,7.1,0.5,0.3,3.8,1.5,0.535,5.000,5.4,10.4,16.4
Third Week of Februrary,25,25,39,53,34,51,68,0.3366,0.0816,0.0918,0.1323,0.3577,7.1,0.5,0.3,3.8,1.5,0.535,5.000,5.4,10.4,16.4
