Reference Location:,"Austin, TX",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,71,75,79,87,94,101,0.396,0.096,0.108,0.108,0.292,6,0,0,1.6,0,0.267,0.000,3.3,8.3,13.3
First Week of September,1,70,75,80,87,93,99,0.429,0.104,0.117,0.0945,0.2555,7.1,0,0,2.5,0,0.352,0.000,3.1,8.1,13.1
Second Week of September,2,68,73,78,84,91,98,0.429,0.104,0.117,0.0945,0.2555,7.1,0,0,2.5,0,0.352,0.000,3.1,8.1,13.1
Third Week of September,3,64,71,78,82,89,96,0.429,0.104,0.117,0.0945,0.2555,7.1,0,0,2.5,0,0.352,0.000,3.1,8.1,13.1
Fourth Week of September,4,61,69,77,82,88,94,0.429,0.104,0.117,0.0945,0.2555,7.1,0,0,2.5,0,0.352,0.000,3.1,8.1,13.1
September/October Transition,5,57,67,77,77,85,93,0.429,0.104,0.117,0.0945,0.2555,7.1,0,0,2.5,0,0.352,0.000,3.1,8.1,13.1
First Week of October,6,54,65,76,76,84,92,0.462,0.112,0.126,0.081,0.219,6.7,0,0,3.1,0,0.463,0.000,4,9,14
Second Week of October,7,52,63,74,72,81,90,0.462,0.112,0.126,0.081,0.219,6.7,0,0,3.1,0,0.463,0.000,4,9,14
Third Week of October,8,50,61,72,70,79,88,0.462,0.112,0.126,0.081,0.219,6.7,0,0,3.1,0,0.463,0.000,4,9,14
October/November Transition,9,47,59,71,67,77,87,0.462,0.112,0.126,0.081,0.219,6.7,0,0,3.1,0,0.463,0.000,4,9,14
First Week of November,10,44,57,70,63,74,85,0.4224,0.1024,0.1152,0.0972,0.2628,5.4,0,0,2.4,0,0.444,0.000,4.7,9.7,15.7
Second Week of November,11,42,55,68,61,72,83,0.4224,0.1024,0.1152,0.0972,0.2628,5.4,0,0,2.4,0,0.444,0.000,4.7,9.7,15.7
Third Week of November,12,40,53,66,57,69,81,0.4224,0.1024,0.1152,0.0972,0.2628,5.4,0,0,2.4,0,0.444,0.000,4.7,9.7,15.7
Fourth Week of November,13,38,51,64,54,67,80,0.4224,0.1024,0.1152,0.0972,0.2628,5.4,0,0,2.4,0,0.444,0.000,4.7,9.7,15.7
First Week of December,14,35,49,63,52,65,78,0.3762,0.0912,0.1026,0.1161,0.3139,4.7,0,0,1.9,0,0.404,0.000,4.8,9.8,15.8
Second Week of December,15,33,48,63,49,63,77,0.3762,0.0912,0.1026,0.1161,0.3139,4.7,0,0,1.9,0,0.404,0.000,4.8,9.8,15.8
Third Week of December,16,32,46,60,47,61,75,0.3762,0.0912,0.1026,0.1161,0.3139,4.7,0,0,1.9,0,0.404,0.000,4.8,9.8,15.8
Fourth Week of December,17,31,46,61,45,60,75,0.3762,0.0912,0.1026,0.1161,0.3139,4.7,0,0,1.9,0,0.404,0.000,4.8,9.8,15.8
December/January Transition,18,31,45,59,45,60,75,0.3696,0.0896,0.1008,0.1188,0.3212,4.5,0,0,1.7,0,0.378,0.000,4.8,9.8,15.8
First Week of January,19,31,44,57,44,59,74,0.3696,0.0896,0.1008,0.1188,0.3212,4.5,0,0,1.7,0,0.378,0.000,4.8,9.8,15.8
Second Week of January,20,32,45,58,45,60,75,0.3696,0.0896,0.1008,0.1188,0.3212,4.5,0,0,1.7,0,0.378,0.000,4.8,9.8,15.8
Third Week of January,21,32,44,56,45,60,75,0.3696,0.0896,0.1008,0.1188,0.3212,4.5,0,0,1.7,0,0.378,0.000,4.8,9.8,15.8
January/February Transition,22,32,45,58,45,60,75,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0,0,1.7,0,0.362,0.000,5.2,10.2,16.2
First Week of February,23,32,45,58,47,62,77,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0,0,1.7,0,0.362,0.000,5.2,10.2,16.2
Second Week of February,24,34,47,60,48,63,78,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0,0,1.7,0,0.362,0.000,5.2,10.2,16.2
Third Week of Februrary,25,34,47,60,49,64,79,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0,0,1.7,0,0.362,0.000,5.2,10.2,16.2
