Reference Location:,"Houston, TX",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,74,77,80,86,92,98,0.3432,0.0832,0.0936,0.1296,0.3504,10.7,0,0,3.3,0,0.308,0.000,1.3,6.3,11.3
First Week of September,1,73,77,81,85,91,97,0.396,0.096,0.108,0.108,0.292,10,0,0,4.1,0,0.410,0.000,1.8,6.8,11.8
Second Week of September,2,71,76,81,84,90,96,0.396,0.096,0.108,0.108,0.292,10,0,0,4.1,0,0.410,0.000,1.8,6.8,11.8
Third Week of September,3,67,74,81,81,88,95,0.396,0.096,0.108,0.108,0.292,10,0,0,4.1,0,0.410,0.000,1.8,6.8,11.8
Fourth Week of September,4,64,72,80,81,87,93,0.396,0.096,0.108,0.108,0.292,10,0,0,4.1,0,0.410,0.000,1.8,6.8,11.8
September/October Transition,5,61,70,79,78,85,92,0.396,0.096,0.108,0.108,0.292,10,0,0,4.1,0,0.410,0.000,1.8,6.8,11.8
First Week of October,6,59,69,79,75,83,91,0.4554,0.1104,0.1242,0.0837,0.2263,7.9,0,0,4.4,0,0.557,0.000,2.8,7.8,12.8
Second Week of October,7,57,67,77,73,81,89,0.4554,0.1104,0.1242,0.0837,0.2263,7.9,0,0,4.4,0,0.557,0.000,2.8,7.8,12.8
Third Week of October,8,55,65,75,71,79,87,0.4554,0.1104,0.1242,0.0837,0.2263,7.9,0,0,4.4,0,0.557,0.000,2.8,7.8,12.8
October/November Transition,9,52,64,76,68,77,86,0.4554,0.1104,0.1242,0.0837,0.2263,7.9,0,0,4.4,0,0.557,0.000,2.8,7.8,12.8
First Week of November,10,49,61,73,66,75,84,0.4224,0.1024,0.1152,0.0972,0.2628,7.9,0,0,4,0,0.506,0.000,3.5,8.5,14.5
Second Week of November,11,47,59,71,63,73,83,0.4224,0.1024,0.1152,0.0972,0.2628,7.9,0,0,4,0,0.506,0.000,3.5,8.5,14.5
Third Week of November,12,44,57,70,59,70,81,0.4224,0.1024,0.1152,0.0972,0.2628,7.9,0,0,4,0,0.506,0.000,3.5,8.5,14.5
Fourth Week of November,13,42,56,70,56,68,80,0.4224,0.1024,0.1152,0.0972,0.2628,7.9,0,0,4,0,0.506,0.000,3.5,8.5,14.5
First Week of December,14,40,54,68,53,66,79,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0,0.432,0.000,3.8,8.8,14.8
Second Week of December,15,38,53,68,50,64,78,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0,0.432,0.000,3.8,8.8,14.8
Third Week of December,16,37,51,65,49,63,77,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0,0.432,0.000,3.8,8.8,14.8
Fourth Week of December,17,36,50,64,48,62,76,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,3.5,0,0.432,0.000,3.8,8.8,14.8
December/January Transition,18,36,50,64,46,61,76,0.3564,0.0864,0.0972,0.1242,0.3358,8.3,0,0,3.4,0,0.410,0.000,3.8,8.8,14.8
First Week of January,19,36,49,62,46,61,76,0.3564,0.0864,0.0972,0.1242,0.3358,8.3,0,0,3.4,0,0.410,0.000,3.8,8.8,14.8
Second Week of January,20,36,49,62,47,61,75,0.3564,0.0864,0.0972,0.1242,0.3358,8.3,0,0,3.4,0,0.410,0.000,3.8,8.8,14.8
Third Week of January,21,36,49,62,47,61,75,0.3564,0.0864,0.0972,0.1242,0.3358,8.3,0,0,3.4,0,0.410,0.000,3.8,8.8,14.8
January/February Transition,22,37,50,63,47,61,75,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0,0,2.9,0,0.408,0.000,4.1,9.1,15.1
First Week of February,23,37,50,63,48,62,76,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0,0,2.9,0,0.408,0.000,4.1,9.1,15.1
Second Week of February,24,39,52,65,51,64,77,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0,0,2.9,0,0.408,0.000,4.1,9.1,15.1
Third Week of Februrary,25,40,52,64,51,64,77,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0,0,2.9,0,0.408,0.000,4.1,9.1,15.1
