Reference Location:,"Dallas, TX",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,70,76,82,85,93,101,0.4422,0.1072,0.1206,0.0891,0.2409,5.9,0,0,1.8,0,0.305,0.000,3.2,8.2,13.2
First Week of September,1,69,75,81,85,92,99,0.462,0.112,0.126,0.081,0.219,6.8,0,0,2.5,0,0.368,0.000,3.6,8.6,13.6
Second Week of September,2,66,73,80,82,90,98,0.462,0.112,0.126,0.081,0.219,6.8,0,0,2.5,0,0.368,0.000,3.6,8.6,13.6
Third Week of September,3,62,71,80,80,88,96,0.462,0.112,0.126,0.081,0.219,6.8,0,0,2.5,0,0.368,0.000,3.6,8.6,13.6
Fourth Week of September,4,59,68,77,76,85,94,0.462,0.112,0.126,0.081,0.219,6.8,0,0,2.5,0,0.368,0.000,3.6,8.6,13.6
September/October Transition,5,55,66,77,74,83,92,0.462,0.112,0.126,0.081,0.219,6.8,0,0,2.5,0,0.368,0.000,3.6,8.6,13.6
First Week of October,6,53,63,73,72,81,90,0.4686,0.1136,0.1278,0.0783,0.2117,7.7,0,0,3.6,0,0.468,0.000,4.6,9.6,14.6
Second Week of October,7,50,61,72,68,78,88,0.4686,0.1136,0.1278,0.0783,0.2117,7.7,0,0,3.6,0,0.468,0.000,4.6,9.6,14.6
Third Week of October,8,47,59,71,64,75,86,0.4686,0.1136,0.1278,0.0783,0.2117,7.7,0,0,3.6,0,0.468,0.000,4.6,9.6,14.6
October/November Transition,9,45,57,69,62,73,84,0.4686,0.1136,0.1278,0.0783,0.2117,7.7,0,0,3.6,0,0.468,0.000,4.6,9.6,14.6
First Week of November,10,42,55,68,58,70,82,0.4224,0.1024,0.1152,0.0972,0.2628,6.2,0.1,0,2.8,0,0.452,0.000,5.3,10.3,16.3
Second Week of November,11,40,53,66,54,67,80,0.4224,0.1024,0.1152,0.0972,0.2628,6.2,0.1,0,2.8,0,0.452,0.000,5.3,10.3,16.3
Third Week of November,12,37,50,63,52,65,78,0.4224,0.1024,0.1152,0.0972,0.2628,6.2,0.1,0,2.8,0,0.452,0.000,5.3,10.3,16.3
Fourth Week of November,13,35,48,61,48,62,76,0.4224,0.1024,0.1152,0.0972,0.2628,6.2,0.1,0,2.8,0,0.452,0.000,5.3,10.3,16.3
First Week of December,14,34,46,58,46,60,74,0.3762,0.0912,0.1026,0.1161,0.3139,5.6,0.2,0,2.5,0,0.446,0.000,5.3,10.3,16.3
Second Week of December,15,31,44,57,42,57,72,0.3762,0.0912,0.1026,0.1161,0.3139,5.6,0.2,0,2.5,0,0.446,0.000,5.3,10.3,16.3
Third Week of December,16,30,42,54,41,56,71,0.3762,0.0912,0.1026,0.1161,0.3139,5.6,0.2,0,2.5,0,0.446,0.000,5.3,10.3,16.3
Fourth Week of December,17,29,42,55,37,54,71,0.3762,0.0912,0.1026,0.1161,0.3139,5.6,0.2,0,2.5,0,0.446,0.000,5.3,10.3,16.3
December/January Transition,18,27,41,55,38,54,70,0.3762,0.0912,0.1026,0.1161,0.3139,4.9,0.2,0,2,0,0.408,0.000,5.3,10.3,16.3
First Week of January,19,27,40,53,38,54,70,0.3762,0.0912,0.1026,0.1161,0.3139,4.9,0.2,0,2,0,0.408,0.000,5.3,10.3,16.3
Second Week of January,20,28,40,52,37,54,71,0.3762,0.0912,0.1026,0.1161,0.3139,4.9,0.2,0,2,0,0.408,0.000,5.3,10.3,16.3
Third Week of January,21,27,40,53,39,55,71,0.3762,0.0912,0.1026,0.1161,0.3139,4.9,0.2,0,2,0,0.408,0.000,5.3,10.3,16.3
January/February Transition,22,27,41,55,39,55,71,0.363,0.088,0.099,0.1215,0.3285,5.2,0.2,0,2.4,0,0.462,0.000,5.9,10.9,16.9
First Week of February,23,28,41,54,39,56,73,0.363,0.088,0.099,0.1215,0.3285,5.2,0.2,0,2.4,0,0.462,0.000,5.9,10.9,16.9
Second Week of February,24,30,43,56,42,58,74,0.363,0.088,0.099,0.1215,0.3285,5.2,0.2,0,2.4,0,0.462,0.000,5.9,10.9,16.9
Third Week of Februrary,25,31,44,57,43,59,75,0.363,0.088,0.099,0.1215,0.3285,5.2,0.2,0,2.4,0,0.462,0.000,5.9,10.9,16.9
