Reference Location:,"Lubbock, TX",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,63,68,73,80,88,96,0.4554,0.1104,0.1242,0.0837,0.2263,7.4,0,0,1.8,0,0.243,0.000,4.2,9.2,14.2
First Week of September,1,61,66,71,79,87,95,0.4818,0.1168,0.1314,0.0729,0.1971,6.4,0,0,2.2,0,0.344,0.000,4.5,9.5,14.5
Second Week of September,2,58,64,70,76,85,94,0.4818,0.1168,0.1314,0.0729,0.1971,6.4,0,0,2.2,0,0.344,0.000,4.5,9.5,14.5
Third Week of September,3,54,62,70,73,83,93,0.4818,0.1168,0.1314,0.0729,0.1971,6.4,0,0,2.2,0,0.344,0.000,4.5,9.5,14.5
Fourth Week of September,4,51,60,69,71,81,91,0.4818,0.1168,0.1314,0.0729,0.1971,6.4,0,0,2.2,0,0.344,0.000,4.5,9.5,14.5
September/October Transition,5,47,57,67,68,79,90,0.4818,0.1168,0.1314,0.0729,0.1971,6.4,0,0,2.2,0,0.344,0.000,4.5,9.5,14.5
First Week of October,6,44,54,64,65,77,89,0.4884,0.1184,0.1332,0.0702,0.1898,4.1,0,0,1.5,0.1,0.366,0.000,5.2,10.2,15.2
Second Week of October,7,42,52,62,63,75,87,0.4884,0.1184,0.1332,0.0702,0.1898,4.1,0,0,1.5,0.1,0.366,0.000,5.2,10.2,15.2
Third Week of October,8,39,50,61,60,72,84,0.4884,0.1184,0.1332,0.0702,0.1898,4.1,0,0,1.5,0.1,0.366,0.000,5.2,10.2,15.2
October/November Transition,9,36,47,58,57,70,83,0.4884,0.1184,0.1332,0.0702,0.1898,4.1,0,0,1.5,0.1,0.366,0.000,5.2,10.2,15.2
First Week of November,10,34,45,56,54,67,80,0.4488,0.1088,0.1224,0.0864,0.2336,2.2,0.2,0.2,0.8,0.7,0.364,3.500,5.6,10.6,16.6
Second Week of November,11,31,42,53,52,65,78,0.4488,0.1088,0.1224,0.0864,0.2336,2.2,0.2,0.2,0.8,0.7,0.364,3.500,5.6,10.6,16.6
Third Week of November,12,29,40,51,48,62,76,0.4488,0.1088,0.1224,0.0864,0.2336,2.2,0.2,0.2,0.8,0.7,0.364,3.500,5.6,10.6,16.6
Fourth Week of November,13,26,37,48,44,59,74,0.4488,0.1088,0.1224,0.0864,0.2336,2.2,0.2,0.2,0.8,0.7,0.364,3.500,5.6,10.6,16.6
First Week of December,14,24,35,46,42,57,72,0.4224,0.1024,0.1152,0.0972,0.2628,1.6,0.4,0.5,0.5,1.4,0.313,2.800,5.7,10.7,16.7
Second Week of December,15,21,33,45,39,55,71,0.4224,0.1024,0.1152,0.0972,0.2628,1.6,0.4,0.5,0.5,1.4,0.313,2.800,5.7,10.7,16.7
Third Week of December,16,20,32,44,36,53,70,0.4224,0.1024,0.1152,0.0972,0.2628,1.6,0.4,0.5,0.5,1.4,0.313,2.800,5.7,10.7,16.7
Fourth Week of December,17,19,31,43,35,52,69,0.4224,0.1024,0.1152,0.0972,0.2628,1.6,0.4,0.5,0.5,1.4,0.313,2.800,5.7,10.7,16.7
December/January Transition,18,19,30,41,35,52,69,0.4224,0.1024,0.1152,0.0972,0.2628,1.3,0.3,0.5,0.3,1.4,0.231,2.800,5.9,10.9,16.9
First Week of January,19,19,30,41,35,52,69,0.4224,0.1024,0.1152,0.0972,0.2628,1.3,0.3,0.5,0.3,1.4,0.231,2.800,5.9,10.9,16.9
Second Week of January,20,20,30,40,37,53,69,0.4224,0.1024,0.1152,0.0972,0.2628,1.3,0.3,0.5,0.3,1.4,0.231,2.800,5.9,10.9,16.9
Third Week of January,21,19,30,41,37,53,69,0.4224,0.1024,0.1152,0.0972,0.2628,1.3,0.3,0.5,0.3,1.4,0.231,2.800,5.9,10.9,16.9
January/February Transition,22,19,30,41,36,53,70,0.4026,0.0976,0.1098,0.108,0.292,1.8,0.3,0.3,0.5,0.9,0.278,3.000,6.4,11.4,17.4
First Week of February,23,20,31,42,39,55,71,0.4026,0.0976,0.1098,0.108,0.292,1.8,0.3,0.3,0.5,0.9,0.278,3.000,6.4,11.4,17.4
Second Week of February,24,21,33,45,39,56,73,0.4026,0.0976,0.1098,0.108,0.292,1.8,0.3,0.3,0.5,0.9,0.278,3.000,6.4,11.4,17.4
Third Week of Februrary,25,22,34,46,41,58,75,0.4026,0.0976,0.1098,0.108,0.292,1.8,0.3,0.3,0.5,0.9,0.278,3.000,6.4,11.4,17.4
