Reference Location:,"Corpus Christi, TX",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,75,78,81,88,92,96,0.3036,0.0736,0.0828,0.1458,0.3942,6.7,0,0,2,0,0.299,0.000,4.7,9.7,14.7
First Week of September,1,75,78,81,86,91,96,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,3.4,0,0.366,0.000,4.6,9.6,14.6
Second Week of September,2,73,77,81,85,90,95,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,3.4,0,0.366,0.000,4.6,9.6,14.6
Third Week of September,3,70,76,82,84,89,94,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,3.4,0,0.366,0.000,4.6,9.6,14.6
Fourth Week of September,4,68,74,80,83,88,93,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,3.4,0,0.366,0.000,4.6,9.6,14.6
September/October Transition,5,65,73,81,82,87,92,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,3.4,0,0.366,0.000,4.6,9.6,14.6
First Week of October,6,62,71,80,79,85,91,0.4488,0.1088,0.1224,0.0864,0.2336,7,0,0,2.8,0,0.400,0.000,5.4,10.4,15.4
Second Week of October,7,60,70,80,78,84,90,0.4488,0.1088,0.1224,0.0864,0.2336,7,0,0,2.8,0,0.400,0.000,5.4,10.4,15.4
Third Week of October,8,57,68,79,75,82,89,0.4488,0.1088,0.1224,0.0864,0.2336,7,0,0,2.8,0,0.400,0.000,5.4,10.4,15.4
October/November Transition,9,55,67,79,72,80,88,0.4488,0.1088,0.1224,0.0864,0.2336,7,0,0,2.8,0,0.400,0.000,5.4,10.4,15.4
First Week of November,10,53,65,77,70,78,86,0.4356,0.1056,0.1188,0.0918,0.2482,4.7,0,0,1.7,0,0.362,0.000,6,11,17
Second Week of November,11,50,63,76,67,76,85,0.4356,0.1056,0.1188,0.0918,0.2482,4.7,0,0,1.7,0,0.362,0.000,6,11,17
Third Week of November,12,48,61,74,64,74,84,0.4356,0.1056,0.1188,0.0918,0.2482,4.7,0,0,1.7,0,0.362,0.000,6,11,17
Fourth Week of November,13,45,59,73,61,72,83,0.4356,0.1056,0.1188,0.0918,0.2482,4.7,0,0,1.7,0,0.362,0.000,6,11,17
First Week of December,14,43,57,71,58,70,82,0.3762,0.0912,0.1026,0.1161,0.3139,3.8,0,0,1.1,0,0.289,0.000,6.2,11.2,17.2
Second Week of December,15,41,56,71,55,68,81,0.3762,0.0912,0.1026,0.1161,0.3139,3.8,0,0,1.1,0,0.289,0.000,6.2,11.2,17.2
Third Week of December,16,40,54,68,54,67,80,0.3762,0.0912,0.1026,0.1161,0.3139,3.8,0,0,1.1,0,0.289,0.000,6.2,11.2,17.2
Fourth Week of December,17,39,53,67,53,66,79,0.3762,0.0912,0.1026,0.1161,0.3139,3.8,0,0,1.1,0,0.289,0.000,6.2,11.2,17.2
December/January Transition,18,39,52,65,51,65,79,0.363,0.088,0.099,0.1215,0.3285,4.2,0,0,1.3,0,0.310,0.000,6.2,11.2,17.2
First Week of January,19,38,52,66,50,64,78,0.363,0.088,0.099,0.1215,0.3285,4.2,0,0,1.3,0,0.310,0.000,6.2,11.2,17.2
Second Week of January,20,39,52,65,52,65,78,0.363,0.088,0.099,0.1215,0.3285,4.2,0,0,1.3,0,0.310,0.000,6.2,11.2,17.2
Third Week of January,21,39,52,65,53,65,77,0.363,0.088,0.099,0.1215,0.3285,4.2,0,0,1.3,0,0.310,0.000,6.2,11.2,17.2
January/February Transition,22,39,52,65,52,65,78,0.3828,0.0928,0.1044,0.1134,0.3066,3.4,0,0,1.3,0,0.382,0.000,6.6,11.6,17.6
First Week of February,23,39,53,67,54,66,78,0.3828,0.0928,0.1044,0.1134,0.3066,3.4,0,0,1.3,0,0.382,0.000,6.6,11.6,17.6
Second Week of February,24,41,54,67,57,68,79,0.3828,0.0928,0.1044,0.1134,0.3066,3.4,0,0,1.3,0,0.382,0.000,6.6,11.6,17.6
Third Week of Februrary,25,41,55,69,57,68,79,0.3828,0.0928,0.1044,0.1134,0.3066,3.4,0,0,1.3,0,0.382,0.000,6.6,11.6,17.6
