Reference Location:,"El Paso, TX",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,66,71,76,85,91,97,0.4224,0.1024,0.1152,0.0972,0.2628,7.8,0,0,1.5,0,0.192,0.000,1.9,6.9,11.9
First Week of September,1,64,69,74,84,90,96,0.4818,0.1168,0.1314,0.0729,0.1971,5.1,0,0,1.1,0,0.216,0.000,2.6,7.6,12.6
Second Week of September,2,62,68,74,81,88,95,0.4818,0.1168,0.1314,0.0729,0.1971,5.1,0,0,1.1,0,0.216,0.000,2.6,7.6,12.6
Third Week of September,3,60,66,72,80,87,94,0.4818,0.1168,0.1314,0.0729,0.1971,5.1,0,0,1.1,0,0.216,0.000,2.6,7.6,12.6
Fourth Week of September,4,57,64,71,79,86,93,0.4818,0.1168,0.1314,0.0729,0.1971,5.1,0,0,1.1,0,0.216,0.000,2.6,7.6,12.6
September/October Transition,5,53,62,71,76,84,92,0.4818,0.1168,0.1314,0.0729,0.1971,5.1,0,0,1.1,0,0.216,0.000,2.6,7.6,12.6
First Week of October,6,51,59,67,74,82,90,0.5082,0.1232,0.1386,0.0621,0.1679,3,0,0,0.6,0,0.200,0.000,3,8,13
Second Week of October,7,47,56,65,70,79,88,0.5082,0.1232,0.1386,0.0621,0.1679,3,0,0,0.6,0,0.200,0.000,3,8,13
Third Week of October,8,44,54,64,69,77,85,0.5082,0.1232,0.1386,0.0621,0.1679,3,0,0,0.6,0,0.200,0.000,3,8,13
October/November Transition,9,41,51,61,65,74,83,0.5082,0.1232,0.1386,0.0621,0.1679,3,0,0,0.6,0,0.200,0.000,3,8,13
First Week of November,10,38,48,58,62,71,80,0.462,0.112,0.126,0.081,0.219,2,0,0,0.4,0,0.200,0.000,3.2,8.2,14.2
Second Week of November,11,35,46,57,60,69,78,0.462,0.112,0.126,0.081,0.219,2,0,0,0.4,0,0.200,0.000,3.2,8.2,14.2
Third Week of November,12,32,43,54,55,65,75,0.462,0.112,0.126,0.081,0.219,2,0,0,0.4,0,0.200,0.000,3.2,8.2,14.2
Fourth Week of November,13,30,41,52,53,63,73,0.462,0.112,0.126,0.081,0.219,2,0,0,0.4,0,0.200,0.000,3.2,8.2,14.2
First Week of December,14,28,39,50,51,61,71,0.4422,0.1072,0.1206,0.0891,0.2409,2.6,0,0,0.5,0,0.192,0.000,3.1,8.1,14.1
Second Week of December,15,27,37,47,49,59,69,0.4422,0.1072,0.1206,0.0891,0.2409,2.6,0,0,0.5,0,0.192,0.000,3.1,8.1,14.1
Third Week of December,16,26,36,46,46,57,68,0.4422,0.1072,0.1206,0.0891,0.2409,2.6,0,0,0.5,0,0.192,0.000,3.1,8.1,14.1
Fourth Week of December,17,25,36,47,45,56,67,0.4422,0.1072,0.1206,0.0891,0.2409,2.6,0,0,0.5,0,0.192,0.000,3.1,8.1,14.1
December/January Transition,18,25,35,45,46,56,66,0.4356,0.1056,0.1188,0.0918,0.2482,1.9,0,0,0.3,0,0.158,0.000,3.3,8.3,14.3
First Week of January,19,25,35,45,45,56,67,0.4356,0.1056,0.1188,0.0918,0.2482,1.9,0,0,0.3,0,0.158,0.000,3.3,8.3,14.3
Second Week of January,20,25,36,47,47,57,67,0.4356,0.1056,0.1188,0.0918,0.2482,1.9,0,0,0.3,0,0.158,0.000,3.3,8.3,14.3
Third Week of January,21,25,36,47,48,58,68,0.4356,0.1056,0.1188,0.0918,0.2482,1.9,0,0,0.3,0,0.158,0.000,3.3,8.3,14.3
January/February Transition,22,26,37,48,49,59,69,0.4224,0.1024,0.1152,0.0972,0.2628,1.5,0,0,0.3,0,0.200,0.000,4.2,9.2,15.2
First Week of February,23,27,38,49,49,60,71,0.4224,0.1024,0.1152,0.0972,0.2628,1.5,0,0,0.3,0,0.200,0.000,4.2,9.2,15.2
Second Week of February,24,28,39,50,52,62,72,0.4224,0.1024,0.1152,0.0972,0.2628,1.5,0,0,0.3,0,0.200,0.000,4.2,9.2,15.2
Third Week of Februrary,25,29,40,51,52,63,74,0.4224,0.1024,0.1152,0.0972,0.2628,1.5,0,0,0.3,0,0.200,0.000,4.2,9.2,15.2
