Reference Location:,"Salt Lake City, UT",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,56,64,72,78,86,94,0.5148,0.1248,0.1404,0.0594,0.1606,3.8,0,0,0.7,0,0.184,0.000,0.9,5.9,10.9
First Week of September,1,53,62,71,76,84,92,0.5082,0.1232,0.1386,0.0621,0.1679,4.9,0,0,1.2,0,0.245,0.000,0.9,5.9,10.9
Second Week of September,2,50,59,68,72,81,90,0.5082,0.1232,0.1386,0.0621,0.1679,4.9,0,0,1.2,0,0.245,0.000,0.9,5.9,10.9
Third Week of September,3,47,57,67,68,78,88,0.5082,0.1232,0.1386,0.0621,0.1679,4.9,0,0,1.2,0,0.245,0.000,0.9,5.9,10.9
Fourth Week of September,4,44,54,64,62,74,86,0.5082,0.1232,0.1386,0.0621,0.1679,4.9,0,0,1.2,0,0.245,0.000,0.9,5.9,10.9
September/October Transition,5,41,51,61,59,71,83,0.5082,0.1232,0.1386,0.0621,0.1679,4.9,0,0,1.2,0,0.245,0.000,0.9,5.9,10.9
First Week of October,6,39,48,57,56,68,80,0.4422,0.1072,0.1206,0.0891,0.2409,5.3,0.1,0,1.4,0.1,0.264,0.000,0.6,5.6,10.6
Second Week of October,7,37,46,55,53,65,77,0.4422,0.1072,0.1206,0.0891,0.2409,5.3,0.1,0,1.4,0.1,0.264,0.000,0.6,5.6,10.6
Third Week of October,8,34,43,52,49,61,73,0.4422,0.1072,0.1206,0.0891,0.2409,5.3,0.1,0,1.4,0.1,0.264,0.000,0.6,5.6,10.6
October/November Transition,9,32,41,50,46,58,70,0.4422,0.1072,0.1206,0.0891,0.2409,5.3,0.1,0,1.4,0.1,0.264,0.000,0.6,5.6,10.6
First Week of November,10,29,39,49,43,55,67,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.8,0.4,1.3,1.1,0.283,2.750,0.5,5.6,11.6
Second Week of November,11,27,37,47,38,51,64,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.8,0.4,1.3,1.1,0.283,2.750,0.5,5.6,11.6
Third Week of November,12,24,34,44,34,47,60,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.8,0.4,1.3,1.1,0.283,2.750,0.5,5.6,11.6
Fourth Week of November,13,22,32,42,31,44,57,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.8,0.4,1.3,1.1,0.283,2.750,0.5,5.6,11.6
First Week of December,14,19,30,41,28,41,54,0.3432,0.0832,0.0936,0.1296,0.3504,3.6,1.5,1.2,1.1,3.2,0.306,2.667,0.5,5.4,11.4
Second Week of December,15,18,29,40,27,39,51,0.3432,0.0832,0.0936,0.1296,0.3504,3.6,1.5,1.2,1.1,3.2,0.306,2.667,0.5,5.4,11.4
Third Week of December,16,16,27,38,23,36,49,0.3432,0.0832,0.0936,0.1296,0.3504,3.6,1.5,1.2,1.1,3.2,0.306,2.667,0.5,5.4,11.4
Fourth Week of December,17,15,26,37,23,35,47,0.3432,0.0832,0.0936,0.1296,0.3504,3.6,1.5,1.2,1.1,3.2,0.306,2.667,0.5,5.4,11.4
December/January Transition,18,14,26,38,23,34,45,0.33,0.08,0.09,0.135,0.365,3.1,1.7,1.4,1,3.4,0.323,2.429,0.5,5.3,11.3
First Week of January,19,13,25,37,22,34,46,0.33,0.08,0.09,0.135,0.365,3.1,1.7,1.4,1,3.4,0.323,2.429,0.5,5.3,11.3
Second Week of January,20,13,26,39,23,35,47,0.33,0.08,0.09,0.135,0.365,3.1,1.7,1.4,1,3.4,0.323,2.429,0.5,5.3,11.3
Third Week of January,21,14,26,38,25,36,47,0.33,0.08,0.09,0.135,0.365,3.1,1.7,1.4,1,3.4,0.323,2.429,0.5,5.3,11.3
January/February Transition,22,14,26,38,24,36,48,0.3168,0.0768,0.0864,0.1404,0.3796,4.2,1.1,0.8,1.1,2.3,0.262,2.875,0.5,5.8,11.8
First Week of February,23,15,27,39,27,38,49,0.3168,0.0768,0.0864,0.1404,0.3796,4.2,1.1,0.8,1.1,2.3,0.262,2.875,0.5,5.8,11.8
Second Week of February,24,17,28,39,29,40,51,0.3168,0.0768,0.0864,0.1404,0.3796,4.2,1.1,0.8,1.1,2.3,0.262,2.875,0.5,5.8,11.8
Third Week of Februrary,25,19,30,41,30,42,54,0.3168,0.0768,0.0864,0.1404,0.3796,4.2,1.1,0.8,1.1,2.3,0.262,2.875,0.5,5.8,11.8
