Reference Location:,"Richmond, VA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,60,67,74,75,84,93,0.396,0.096,0.108,0.108,0.292,10.8,0,0,3.6,0,0.333,0.000,0.5,4.2,9.2
First Week of September,1,58,66,74,74,83,92,0.4092,0.0992,0.1116,0.1026,0.2774,7.7,0,0,3.5,0,0.455,0.000,0.5,4.6,9.6
Second Week of September,2,55,64,73,73,82,91,0.4092,0.0992,0.1116,0.1026,0.2774,7.7,0,0,3.5,0,0.455,0.000,0.5,4.6,9.6
Third Week of September,3,52,62,72,71,80,89,0.4092,0.0992,0.1116,0.1026,0.2774,7.7,0,0,3.5,0,0.455,0.000,0.5,4.6,9.6
Fourth Week of September,4,49,60,71,67,77,87,0.4092,0.0992,0.1116,0.1026,0.2774,7.7,0,0,3.5,0,0.455,0.000,0.5,4.6,9.6
September/October Transition,5,46,57,68,65,75,85,0.4092,0.0992,0.1116,0.1026,0.2774,7.7,0,0,3.5,0,0.455,0.000,0.5,4.6,9.6
First Week of October,6,43,55,67,61,72,83,0.4158,0.1008,0.1134,0.0999,0.2701,6.8,0,0,3.2,0,0.471,0.000,0.5,5.1,10.1
Second Week of October,7,40,52,64,59,70,81,0.4158,0.1008,0.1134,0.0999,0.2701,6.8,0,0,3.2,0,0.471,0.000,0.5,5.1,10.1
Third Week of October,8,38,49,60,57,68,79,0.4158,0.1008,0.1134,0.0999,0.2701,6.8,0,0,3.2,0,0.471,0.000,0.5,5.1,10.1
October/November Transition,9,35,47,59,53,65,77,0.4158,0.1008,0.1134,0.0999,0.2701,6.8,0,0,3.2,0,0.471,0.000,0.5,5.1,10.1
First Week of November,10,33,45,57,51,63,75,0.3696,0.0896,0.1008,0.1188,0.3212,6.4,0.3,0,3.1,0.5,0.484,0.000,0.5,5.4,11.4
Second Week of November,11,30,43,56,48,61,74,0.3696,0.0896,0.1008,0.1188,0.3212,6.4,0.3,0,3.1,0.5,0.484,0.000,0.5,5.4,11.4
Third Week of November,12,29,42,55,46,59,72,0.3696,0.0896,0.1008,0.1188,0.3212,6.4,0.3,0,3.1,0.5,0.484,0.000,0.5,5.4,11.4
Fourth Week of November,13,27,40,53,42,56,70,0.3696,0.0896,0.1008,0.1188,0.3212,6.4,0.3,0,3.1,0.5,0.484,0.000,0.5,5.4,11.4
First Week of December,14,25,39,53,39,54,69,0.3234,0.0784,0.0882,0.1377,0.3723,6.1,0.8,0.3,2.8,2.5,0.459,8.333,0.5,5.5,11.5
Second Week of December,15,24,37,50,37,52,67,0.3234,0.0784,0.0882,0.1377,0.3723,6.1,0.8,0.3,2.8,2.5,0.459,8.333,0.5,5.5,11.5
Third Week of December,16,23,36,49,34,49,64,0.3234,0.0784,0.0882,0.1377,0.3723,6.1,0.8,0.3,2.8,2.5,0.459,8.333,0.5,5.5,11.5
Fourth Week of December,17,22,35,48,33,48,63,0.3234,0.0784,0.0882,0.1377,0.3723,6.1,0.8,0.3,2.8,2.5,0.459,8.333,0.5,5.5,11.5
December/January Transition,18,20,34,48,31,47,63,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,1,2.4,4.7,0.444,4.700,0.5,5.8,11.8
First Week of January,19,19,33,47,30,46,62,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,1,2.4,4.7,0.444,4.700,0.5,5.8,11.8
Second Week of January,20,18,32,46,28,45,62,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,1,2.4,4.7,0.444,4.700,0.5,5.8,11.8
Third Week of January,21,17,32,47,28,45,62,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,1,2.4,4.7,0.444,4.700,0.5,5.8,11.8
January/February Transition,22,17,31,45,29,45,61,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,0.7,2.3,4.8,0.426,6.857,0.5,6.2,12.2
First Week of February,23,18,32,46,30,46,62,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,0.7,2.3,4.8,0.426,6.857,0.5,6.2,12.2
Second Week of February,24,20,33,46,32,48,64,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,0.7,2.3,4.8,0.426,6.857,0.5,6.2,12.2
Third Week of Februrary,25,21,34,47,33,49,65,0.3234,0.0784,0.0882,0.1377,0.3723,5.4,1.1,0.7,2.3,4.8,0.426,6.857,0.5,6.2,12.2
