Reference Location:,"Roanoke, VA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,58,66,74,75,83,91,0.4092,0.0992,0.1116,0.1026,0.2774,10.8,0,0,3,0,0.278,0.000,0.5,3.1,8.1
First Week of September,1,57,65,73,74,82,90,0.4224,0.1024,0.1152,0.0972,0.2628,7.7,0,0,3,0,0.390,0.000,0.5,3.5,8.5
Second Week of September,2,54,63,72,71,80,89,0.4224,0.1024,0.1152,0.0972,0.2628,7.7,0,0,3,0,0.390,0.000,0.5,3.5,8.5
Third Week of September,3,51,61,71,69,78,87,0.4224,0.1024,0.1152,0.0972,0.2628,7.7,0,0,3,0,0.390,0.000,0.5,3.5,8.5
Fourth Week of September,4,49,59,69,65,75,85,0.4224,0.1024,0.1152,0.0972,0.2628,7.7,0,0,3,0,0.390,0.000,0.5,3.5,8.5
September/October Transition,5,45,57,69,63,73,83,0.4224,0.1024,0.1152,0.0972,0.2628,7.7,0,0,3,0,0.390,0.000,0.5,3.5,8.5
First Week of October,6,42,54,66,61,71,81,0.4158,0.1008,0.1134,0.0999,0.2701,6.3,0,0,2.8,0,0.444,0.000,0.5,4,9
Second Week of October,7,40,51,62,57,68,79,0.4158,0.1008,0.1134,0.0999,0.2701,6.3,0,0,2.8,0,0.444,0.000,0.5,4,9
Third Week of October,8,38,49,60,54,66,78,0.4158,0.1008,0.1134,0.0999,0.2701,6.3,0,0,2.8,0,0.444,0.000,0.5,4,9
October/November Transition,9,35,47,59,52,64,76,0.4158,0.1008,0.1134,0.0999,0.2701,6.3,0,0,2.8,0,0.444,0.000,0.5,4,9
First Week of November,10,33,45,57,48,61,74,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.3,0.1,2.8,0.5,0.491,5.000,0.5,4.5,10.5
Second Week of November,11,31,43,55,46,59,72,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.3,0.1,2.8,0.5,0.491,5.000,0.5,4.5,10.5
Third Week of November,12,29,42,55,41,56,71,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.3,0.1,2.8,0.5,0.491,5.000,0.5,4.5,10.5
Fourth Week of November,13,28,40,52,39,54,69,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.3,0.1,2.8,0.5,0.491,5.000,0.5,4.5,10.5
First Week of December,14,26,39,52,36,51,66,0.3234,0.0784,0.0882,0.1377,0.3723,5.7,0.9,0.5,2.4,3.4,0.421,6.800,0.5,4.9,10.9
Second Week of December,15,24,37,50,34,49,64,0.3234,0.0784,0.0882,0.1377,0.3723,5.7,0.9,0.5,2.4,3.4,0.421,6.800,0.5,4.9,10.9
Third Week of December,16,23,36,49,32,47,62,0.3234,0.0784,0.0882,0.1377,0.3723,5.7,0.9,0.5,2.4,3.4,0.421,6.800,0.5,4.9,10.9
Fourth Week of December,17,22,35,48,31,46,61,0.3234,0.0784,0.0882,0.1377,0.3723,5.7,0.9,0.5,2.4,3.4,0.421,6.800,0.5,4.9,10.9
December/January Transition,18,20,34,48,29,45,61,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.3,0.9,2.1,4.5,0.404,5.000,0.5,5.4,11.4
First Week of January,19,19,33,47,28,44,60,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.3,0.9,2.1,4.5,0.404,5.000,0.5,5.4,11.4
Second Week of January,20,18,32,46,28,44,60,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.3,0.9,2.1,4.5,0.404,5.000,0.5,5.4,11.4
Third Week of January,21,17,32,47,28,44,60,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.3,0.9,2.1,4.5,0.404,5.000,0.5,5.4,11.4
January/February Transition,22,18,32,46,28,44,60,0.3234,0.0784,0.0882,0.1377,0.3723,5.1,1.2,0.8,2.1,5,0.412,6.250,0.5,5.6,11.6
First Week of February,23,18,32,46,28,44,60,0.3234,0.0784,0.0882,0.1377,0.3723,5.1,1.2,0.8,2.1,5,0.412,6.250,0.5,5.6,11.6
Second Week of February,24,21,33,45,30,46,62,0.3234,0.0784,0.0882,0.1377,0.3723,5.1,1.2,0.8,2.1,5,0.412,6.250,0.5,5.6,11.6
Third Week of Februrary,25,22,34,46,30,47,64,0.3234,0.0784,0.0882,0.1377,0.3723,5.1,1.2,0.8,2.1,5,0.412,6.250,0.5,5.6,11.6
