Reference Location:,"Montpelier, VT",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,46,56,66,65,74,83,0.4026,0.0976,0.1098,0.1053,0.2847,11.2,0,0,3.3,0,0.295,0.000,0.5,3.6,8.6
First Week of September,1,44,55,66,63,72,81,0.3894,0.0944,0.1062,0.1107,0.2993,9.6,0,0,3.3,0,0.344,0.000,0.5,4.1,9.1
Second Week of September,2,42,53,64,60,70,80,0.3894,0.0944,0.1062,0.1107,0.2993,9.6,0,0,3.3,0,0.344,0.000,0.5,4.1,9.1
Third Week of September,3,39,51,63,56,67,78,0.3894,0.0944,0.1062,0.1107,0.2993,9.6,0,0,3.3,0,0.344,0.000,0.5,4.1,9.1
Fourth Week of September,4,37,49,61,52,64,76,0.3894,0.0944,0.1062,0.1107,0.2993,9.6,0,0,3.3,0,0.344,0.000,0.5,4.1,9.1
September/October Transition,5,35,46,57,49,61,73,0.3894,0.0944,0.1062,0.1107,0.2993,9.6,0,0,3.3,0,0.344,0.000,0.5,4.1,9.1
First Week of October,6,32,44,56,47,59,71,0.33,0.08,0.09,0.135,0.365,9,0.2,0,3.3,0.2,0.367,0.000,0.5,4.6,9.6
Second Week of October,7,30,42,54,42,55,68,0.33,0.08,0.09,0.135,0.365,9,0.2,0,3.3,0.2,0.367,0.000,0.5,4.6,9.6
Third Week of October,8,28,40,52,38,52,66,0.33,0.08,0.09,0.135,0.365,9,0.2,0,3.3,0.2,0.367,0.000,0.5,4.6,9.6
October/November Transition,9,26,38,50,38,50,62,0.33,0.08,0.09,0.135,0.365,9,0.2,0,3.3,0.2,0.367,0.000,0.5,4.6,9.6
First Week of November,10,24,36,48,32,46,60,0.264,0.064,0.072,0.162,0.438,5.9,1.3,1,2.5,3.6,0.424,3.600,0.5,5.2,11.2
Second Week of November,11,22,34,46,29,43,57,0.264,0.064,0.072,0.162,0.438,5.9,1.3,1,2.5,3.6,0.424,3.600,0.5,5.2,11.2
Third Week of November,12,19,32,45,26,40,54,0.264,0.064,0.072,0.162,0.438,5.9,1.3,1,2.5,3.6,0.424,3.600,0.5,5.2,11.2
Fourth Week of November,13,15,30,45,24,37,50,0.264,0.064,0.072,0.162,0.438,5.9,1.3,1,2.5,3.6,0.424,3.600,0.5,5.2,11.2
First Week of December,14,11,27,43,21,34,47,0.2178,0.0528,0.0594,0.1809,0.4891,3,2,3.4,1.4,10.5,0.467,3.088,0.5,5.7,11.7
Second Week of December,15,6,24,42,18,31,44,0.2178,0.0528,0.0594,0.1809,0.4891,3,2,3.4,1.4,10.5,0.467,3.088,0.5,5.7,11.7
Third Week of December,16,3,22,41,16,29,42,0.2178,0.0528,0.0594,0.1809,0.4891,3,2,3.4,1.4,10.5,0.467,3.088,0.5,5.7,11.7
Fourth Week of December,17,0,20,40,15,27,39,0.2178,0.0528,0.0594,0.1809,0.4891,3,2,3.4,1.4,10.5,0.467,3.088,0.5,5.7,11.7
December/January Transition,18,-1,18,37,11,25,39,0.2046,0.0496,0.0558,0.1863,0.5037,1.8,1.4,3.4,0.9,10.3,0.500,3.029,0.5,6.5,12.5
First Week of January,19,-3,17,37,9,24,39,0.2046,0.0496,0.0558,0.1863,0.5037,1.8,1.4,3.4,0.9,10.3,0.500,3.029,0.5,6.5,12.5
Second Week of January,20,-6,15,36,8,23,38,0.2046,0.0496,0.0558,0.1863,0.5037,1.8,1.4,3.4,0.9,10.3,0.500,3.029,0.5,6.5,12.5
Third Week of January,21,-7,14,35,8,23,38,0.2046,0.0496,0.0558,0.1863,0.5037,1.8,1.4,3.4,0.9,10.3,0.500,3.029,0.5,6.5,12.5
January/February Transition,22,-7,13,33,8,23,38,0.2178,0.0528,0.0594,0.1809,0.4891,1.6,1.4,2.6,0.8,11.2,0.500,4.308,1.8,6.8,12.8
First Week of February,23,-7,13,33,10,24,38,0.2178,0.0528,0.0594,0.1809,0.4891,1.6,1.4,2.6,0.8,11.2,0.500,4.308,1.8,6.8,12.8
Second Week of February,24,-4,15,34,12,26,40,0.2178,0.0528,0.0594,0.1809,0.4891,1.6,1.4,2.6,0.8,11.2,0.500,4.308,1.8,6.8,12.8
Third Week of Februrary,25,-3,16,35,13,27,41,0.2178,0.0528,0.0594,0.1809,0.4891,1.6,1.4,2.6,0.8,11.2,0.500,4.308,1.8,6.8,12.8
