Reference Location:,"Spokane, WA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,48,56,64,69,81,93,0.4884,0.1184,0.1332,0.0702,0.1898,2.5,0,0,0.5,0,0.200,0.000,0.8,5.8,10.8
First Week of September,1,46,54,62,67,79,91,0.4224,0.1024,0.1152,0.0972,0.2628,3.3,0,0,0.6,0,0.182,0.000,0.9,5.9,10.9
Second Week of September,2,44,52,60,63,76,89,0.4224,0.1024,0.1152,0.0972,0.2628,3.3,0,0,0.6,0,0.182,0.000,0.9,5.9,10.9
Third Week of September,3,42,50,58,61,74,87,0.4224,0.1024,0.1152,0.0972,0.2628,3.3,0,0,0.6,0,0.182,0.000,0.9,5.9,10.9
Fourth Week of September,4,39,48,57,58,71,84,0.4224,0.1024,0.1152,0.0972,0.2628,3.3,0,0,0.6,0,0.182,0.000,0.9,5.9,10.9
September/October Transition,5,37,46,55,56,68,80,0.4224,0.1024,0.1152,0.0972,0.2628,3.3,0,0,0.6,0,0.182,0.000,0.9,5.9,10.9
First Week of October,6,35,44,53,54,65,76,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.1,0,1.3,0.1,0.206,0.000,1.1,6.1,11.1
Second Week of October,7,33,42,51,51,61,71,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.1,0,1.3,0.1,0.206,0.000,1.1,6.1,11.1
Third Week of October,8,30,40,50,48,57,66,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.1,0,1.3,0.1,0.206,0.000,1.1,6.1,11.1
October/November Transition,9,29,39,49,44,53,62,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.1,0,1.3,0.1,0.206,0.000,1.1,6.1,11.1
First Week of November,10,27,37,47,40,49,58,0.2046,0.0496,0.0558,0.1863,0.5037,9.4,0.7,0.4,2.4,1.1,0.255,2.750,1.6,6.6,12.6
Second Week of November,11,25,36,47,37,46,55,0.2046,0.0496,0.0558,0.1863,0.5037,9.4,0.7,0.4,2.4,1.1,0.255,2.750,1.6,6.6,12.6
Third Week of November,12,23,34,45,32,42,52,0.2046,0.0496,0.0558,0.1863,0.5037,9.4,0.7,0.4,2.4,1.1,0.255,2.750,1.6,6.6,12.6
Fourth Week of November,13,20,32,44,31,40,49,0.2046,0.0496,0.0558,0.1863,0.5037,9.4,0.7,0.4,2.4,1.1,0.255,2.750,1.6,6.6,12.6
First Week of December,14,19,31,43,27,37,47,0.1848,0.0448,0.0504,0.1944,0.5256,6.6,1.5,1.9,1.9,4.3,0.288,2.263,0.5,6.3,12.3
Second Week of December,15,16,29,42,25,35,45,0.1848,0.0448,0.0504,0.1944,0.5256,6.6,1.5,1.9,1.9,4.3,0.288,2.263,0.5,6.3,12.3
Third Week of December,16,15,28,41,25,34,43,0.1848,0.0448,0.0504,0.1944,0.5256,6.6,1.5,1.9,1.9,4.3,0.288,2.263,0.5,6.3,12.3
Fourth Week of December,17,14,28,42,23,33,43,0.1848,0.0448,0.0504,0.1944,0.5256,6.6,1.5,1.9,1.9,4.3,0.288,2.263,0.5,6.3,12.3
December/January Transition,18,14,27,40,24,33,42,0.1782,0.0432,0.0486,0.1971,0.5329,6.1,1.4,1.7,1.5,4.1,0.246,2.412,0.5,6.3,12.3
First Week of January,19,15,28,41,25,34,43,0.1782,0.0432,0.0486,0.1971,0.5329,6.1,1.4,1.7,1.5,4.1,0.246,2.412,0.5,6.3,12.3
Second Week of January,20,16,28,40,23,34,45,0.1782,0.0432,0.0486,0.1971,0.5329,6.1,1.4,1.7,1.5,4.1,0.246,2.412,0.5,6.3,12.3
Third Week of January,21,16,29,42,26,36,46,0.1782,0.0432,0.0486,0.1971,0.5329,6.1,1.4,1.7,1.5,4.1,0.246,2.412,0.5,6.3,12.3
January/February Transition,22,16,29,42,27,37,47,0.2178,0.0528,0.0594,0.1809,0.4891,6.1,0.6,0.7,1.4,2.3,0.230,3.286,0.5,6.5,12.5
First Week of February,23,17,29,41,28,38,48,0.2178,0.0528,0.0594,0.1809,0.4891,6.1,0.6,0.7,1.4,2.3,0.230,3.286,0.5,6.5,12.5
Second Week of February,24,18,30,42,30,40,50,0.2178,0.0528,0.0594,0.1809,0.4891,6.1,0.6,0.7,1.4,2.3,0.230,3.286,0.5,6.5,12.5
Third Week of Februrary,25,19,30,41,31,41,51,0.2178,0.0528,0.0594,0.1809,0.4891,6.1,0.6,0.7,1.4,2.3,0.230,3.286,0.5,6.5,12.5
