Reference Location:,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,54,58,62,65,74,83,0.462,0.112,0.126,0.081,0.219,3.5,0,0,0.9,0,0.257,0.000,0.5,2.9,7.9
First Week of September,1,53,57,61,64,73,82,0.4026,0.0976,0.1098,0.1053,0.2847,6.3,0,0,1.8,0,0.286,0.000,0.5,3.3,8.3
Second Week of September,2,51,56,61,61,71,81,0.4026,0.0976,0.1098,0.1053,0.2847,6.3,0,0,1.8,0,0.286,0.000,0.5,3.3,8.3
Third Week of September,3,50,55,60,61,70,79,0.4026,0.0976,0.1098,0.1053,0.2847,6.3,0,0,1.8,0,0.286,0.000,0.5,3.3,8.3
Fourth Week of September,4,48,54,60,59,68,77,0.4026,0.0976,0.1098,0.1053,0.2847,6.3,0,0,1.8,0,0.286,0.000,0.5,3.3,8.3
September/October Transition,5,47,53,59,56,65,74,0.4026,0.0976,0.1098,0.1053,0.2847,6.3,0,0,1.8,0,0.286,0.000,0.5,3.3,8.3
First Week of October,6,45,51,57,55,63,71,0.297,0.072,0.081,0.1485,0.4015,12,0,0,4.4,0,0.367,0.000,0.5,4.1,9.1
Second Week of October,7,43,50,57,54,61,68,0.297,0.072,0.081,0.1485,0.4015,12,0,0,4.4,0,0.367,0.000,0.5,4.1,9.1
Third Week of October,8,41,48,55,51,58,65,0.297,0.072,0.081,0.1485,0.4015,12,0,0,4.4,0,0.367,0.000,0.5,4.1,9.1
October/November Transition,9,39,47,55,49,56,63,0.297,0.072,0.081,0.1485,0.4015,12,0,0,4.4,0,0.367,0.000,0.5,4.1,9.1
First Week of November,10,37,46,55,48,54,60,0.2046,0.0496,0.0558,0.1863,0.5037,16.5,0.1,0.1,7.5,0.2,0.455,2.000,0.5,5.1,11.1
Second Week of November,11,35,44,53,46,52,58,0.2046,0.0496,0.0558,0.1863,0.5037,16.5,0.1,0.1,7.5,0.2,0.455,2.000,0.5,5.1,11.1
Third Week of November,12,34,43,52,44,50,56,0.2046,0.0496,0.0558,0.1863,0.5037,16.5,0.1,0.1,7.5,0.2,0.455,2.000,0.5,5.1,11.1
Fourth Week of November,13,32,42,52,42,48,54,0.2046,0.0496,0.0558,0.1863,0.5037,16.5,0.1,0.1,7.5,0.2,0.455,2.000,0.5,5.1,11.1
First Week of December,14,31,41,51,41,47,53,0.1914,0.0464,0.0522,0.1917,0.5183,15.1,0.5,0.3,6.6,1.2,0.437,4.000,0.5,5.1,11.1
Second Week of December,15,30,40,50,40,46,52,0.1914,0.0464,0.0522,0.1917,0.5183,15.1,0.5,0.3,6.6,1.2,0.437,4.000,0.5,5.1,11.1
Third Week of December,16,30,39,48,38,45,52,0.1914,0.0464,0.0522,0.1917,0.5183,15.1,0.5,0.3,6.6,1.2,0.437,4.000,0.5,5.1,11.1
Fourth Week of December,17,29,39,49,38,45,52,0.1914,0.0464,0.0522,0.1917,0.5183,15.1,0.5,0.3,6.6,1.2,0.437,4.000,0.5,5.1,11.1
December/January Transition,18,29,39,49,38,45,52,0.1914,0.0464,0.0522,0.1917,0.5183,14.2,0.5,0.2,6,1.2,0.423,6.000,0.5,5,11
First Week of January,19,29,39,49,37,45,53,0.1914,0.0464,0.0522,0.1917,0.5183,14.2,0.5,0.2,6,1.2,0.423,6.000,0.5,5,11
Second Week of January,20,30,40,50,39,46,53,0.1914,0.0464,0.0522,0.1917,0.5183,14.2,0.5,0.2,6,1.2,0.423,6.000,0.5,5,11
Third Week of January,21,30,40,50,40,47,54,0.1914,0.0464,0.0522,0.1917,0.5183,14.2,0.5,0.2,6,1.2,0.423,6.000,0.5,5,11
January/February Transition,22,30,40,50,39,47,55,0.2046,0.0496,0.0558,0.1863,0.5037,12.8,0.2,0.1,5.2,0.3,0.406,3.000,0.5,4.9,10.9
First Week of February,23,31,40,49,40,48,56,0.2046,0.0496,0.0558,0.1863,0.5037,12.8,0.2,0.1,5.2,0.3,0.406,3.000,0.5,4.9,10.9
Second Week of February,24,31,40,49,40,48,56,0.2046,0.0496,0.0558,0.1863,0.5037,12.8,0.2,0.1,5.2,0.3,0.406,3.000,0.5,4.9,10.9
Third Week of Februrary,25,31,40,49,41,49,57,0.2046,0.0496,0.0558,0.1863,0.5037,12.8,0.2,0.1,5.2,0.3,0.406,3.000,0.5,4.9,10.9
