Reference Location:,"Green Bay, WI",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,50,60,70,66,75,84,0.4356,0.1056,0.1188,0.0918,0.2482,10.3,0,0,3,0,0.291,0.000,4.5,9.5,14.5
First Week of September,1,48,58,68,65,74,83,0.4158,0.1008,0.1134,0.0999,0.2701,9.1,0,0,3.1,0,0.341,0.000,5.9,10.9,15.9
Second Week of September,2,46,56,66,62,72,82,0.4158,0.1008,0.1134,0.0999,0.2701,9.1,0,0,3.1,0,0.341,0.000,5.9,10.9,15.9
Third Week of September,3,42,54,66,58,69,80,0.4158,0.1008,0.1134,0.0999,0.2701,9.1,0,0,3.1,0,0.341,0.000,5.9,10.9,15.9
Fourth Week of September,4,39,51,63,54,66,78,0.4158,0.1008,0.1134,0.0999,0.2701,9.1,0,0,3.1,0,0.341,0.000,5.9,10.9,15.9
September/October Transition,5,36,49,62,51,63,75,0.4158,0.1008,0.1134,0.0999,0.2701,9.1,0,0,3.1,0,0.341,0.000,5.9,10.9,15.9
First Week of October,6,34,46,58,48,60,72,0.363,0.088,0.099,0.1215,0.3285,7.6,0.1,0,2.4,0.1,0.316,0.000,7.1,12.1,17.1
Second Week of October,7,33,44,55,44,57,70,0.363,0.088,0.099,0.1215,0.3285,7.6,0.1,0,2.4,0.1,0.316,0.000,7.1,12.1,17.1
Third Week of October,8,31,42,53,41,54,67,0.363,0.088,0.099,0.1215,0.3285,7.6,0.1,0,2.4,0.1,0.316,0.000,7.1,12.1,17.1
October/November Transition,9,29,40,51,39,51,63,0.363,0.088,0.099,0.1215,0.3285,7.6,0.1,0,2.4,0.1,0.316,0.000,7.1,12.1,17.1
First Week of November,10,26,37,48,36,48,60,0.3102,0.0752,0.0846,0.1431,0.3869,5.1,0.5,0.6,1.7,1.5,0.333,2.500,7.6,12.6,18.6
Second Week of November,11,23,35,47,31,44,57,0.3102,0.0752,0.0846,0.1431,0.3869,5.1,0.5,0.6,1.7,1.5,0.333,2.500,7.6,12.6,18.6
Third Week of November,12,20,32,44,29,41,53,0.3102,0.0752,0.0846,0.1431,0.3869,5.1,0.5,0.6,1.7,1.5,0.333,2.500,7.6,12.6,18.6
Fourth Week of November,13,16,30,44,24,37,50,0.3102,0.0752,0.0846,0.1431,0.3869,5.1,0.5,0.6,1.7,1.5,0.333,2.500,7.6,12.6,18.6
First Week of December,14,12,27,42,21,34,47,0.2838,0.0688,0.0774,0.1539,0.4161,2.5,0.9,2.2,0.8,4.5,0.320,2.045,7.9,12.9,18.9
Second Week of December,15,6,24,42,18,31,44,0.2838,0.0688,0.0774,0.1539,0.4161,2.5,0.9,2.2,0.8,4.5,0.320,2.045,7.9,12.9,18.9
Third Week of December,16,3,22,41,15,28,41,0.2838,0.0688,0.0774,0.1539,0.4161,2.5,0.9,2.2,0.8,4.5,0.320,2.045,7.9,12.9,18.9
Fourth Week of December,17,1,20,39,13,26,39,0.2838,0.0688,0.0774,0.1539,0.4161,2.5,0.9,2.2,0.8,4.5,0.320,2.045,7.9,12.9,18.9
December/January Transition,18,-2,19,40,12,25,38,0.264,0.064,0.072,0.162,0.438,1.3,0.8,2.6,0.4,4.7,0.308,1.808,8.4,13.4,19.4
First Week of January,19,-3,17,37,11,24,37,0.264,0.064,0.072,0.162,0.438,1.3,0.8,2.6,0.4,4.7,0.308,1.808,8.4,13.4,19.4
Second Week of January,20,-4,16,36,10,23,36,0.264,0.064,0.072,0.162,0.438,1.3,0.8,2.6,0.4,4.7,0.308,1.808,8.4,13.4,19.4
Third Week of January,21,-5,15,35,10,23,36,0.264,0.064,0.072,0.162,0.438,1.3,0.8,2.6,0.4,4.7,0.308,1.808,8.4,13.4,19.4
January/February Transition,22,-5,15,35,9,23,37,0.2706,0.0656,0.0738,0.1593,0.4307,1.3,0.7,1.9,0.5,4.5,0.385,2.368,8.1,13.1,19.1
First Week of February,23,-5,15,35,11,24,37,0.2706,0.0656,0.0738,0.1593,0.4307,1.3,0.7,1.9,0.5,4.5,0.385,2.368,8.1,13.1,19.1
Second Week of February,24,-2,17,36,13,26,39,0.2706,0.0656,0.0738,0.1593,0.4307,1.3,0.7,1.9,0.5,4.5,0.385,2.368,8.1,13.1,19.1
Third Week of Februrary,25,-1,18,37,14,27,40,0.2706,0.0656,0.0738,0.1593,0.4307,1.3,0.7,1.9,0.5,4.5,0.385,2.368,8.1,13.1,19.1
