Reference Location:,"Charleston, WV",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,57,65,73,74,82,90,0.4356,0.1056,0.1188,0.0918,0.2482,10.6,0,0,3,0,0.283,0.000,0.5,3,8
First Week of September,1,55,63,71,73,81,89,0.4422,0.1072,0.1206,0.0891,0.2409,8.3,0,0,2.6,0,0.313,0.000,0.5,3.4,8.4
Second Week of September,2,52,62,72,71,80,89,0.4422,0.1072,0.1206,0.0891,0.2409,8.3,0,0,2.6,0,0.313,0.000,0.5,3.4,8.4
Third Week of September,3,49,59,69,67,77,87,0.4422,0.1072,0.1206,0.0891,0.2409,8.3,0,0,2.6,0,0.313,0.000,0.5,3.4,8.4
Fourth Week of September,4,46,57,68,65,75,85,0.4422,0.1072,0.1206,0.0891,0.2409,8.3,0,0,2.6,0,0.313,0.000,0.5,3.4,8.4
September/October Transition,5,43,54,65,61,72,83,0.4422,0.1072,0.1206,0.0891,0.2409,8.3,0,0,2.6,0,0.313,0.000,0.5,3.4,8.4
First Week of October,6,40,52,64,56,69,82,0.396,0.096,0.108,0.108,0.292,7.9,0,0,2.5,0,0.316,0.000,0.5,3.9,8.9
Second Week of October,7,37,49,61,55,67,79,0.396,0.096,0.108,0.108,0.292,7.9,0,0,2.5,0,0.316,0.000,0.5,3.9,8.9
Third Week of October,8,34,47,60,52,65,78,0.396,0.096,0.108,0.108,0.292,7.9,0,0,2.5,0,0.316,0.000,0.5,3.9,8.9
October/November Transition,9,32,45,58,48,62,76,0.396,0.096,0.108,0.108,0.292,7.9,0,0,2.5,0,0.316,0.000,0.5,3.9,8.9
First Week of November,10,30,43,56,44,59,74,0.33,0.08,0.09,0.135,0.365,7.5,0.2,0.1,2.8,0.2,0.373,2.000,0.5,4.5,10.5
Second Week of November,11,28,42,56,42,57,72,0.33,0.08,0.09,0.135,0.365,7.5,0.2,0.1,2.8,0.2,0.373,2.000,0.5,4.5,10.5
Third Week of November,12,27,40,53,38,54,70,0.33,0.08,0.09,0.135,0.365,7.5,0.2,0.1,2.8,0.2,0.373,2.000,0.5,4.5,10.5
Fourth Week of November,13,25,39,53,36,52,68,0.33,0.08,0.09,0.135,0.365,7.5,0.2,0.1,2.8,0.2,0.373,2.000,0.5,4.5,10.5
First Week of December,14,24,38,52,33,49,65,0.2574,0.0624,0.0702,0.1647,0.4453,7.4,0.7,0.3,2.6,1,0.351,3.333,0.5,4.9,10.9
Second Week of December,15,22,36,50,29,46,63,0.2574,0.0624,0.0702,0.1647,0.4453,7.4,0.7,0.3,2.6,1,0.351,3.333,0.5,4.9,10.9
Third Week of December,16,20,34,48,26,44,62,0.2574,0.0624,0.0702,0.1647,0.4453,7.4,0.7,0.3,2.6,1,0.351,3.333,0.5,4.9,10.9
Fourth Week of December,17,18,34,50,25,43,61,0.2574,0.0624,0.0702,0.1647,0.4453,7.4,0.7,0.3,2.6,1,0.351,3.333,0.5,4.9,10.9
December/January Transition,18,17,33,49,24,42,60,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2,2.3,0.317,3.286,0.5,5.5,11.5
First Week of January,19,15,32,49,23,41,59,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2,2.3,0.317,3.286,0.5,5.5,11.5
Second Week of January,20,14,31,48,22,40,58,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2,2.3,0.317,3.286,0.5,5.5,11.5
Third Week of January,21,13,30,47,22,40,58,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2,2.3,0.317,3.286,0.5,5.5,11.5
January/February Transition,22,13,30,47,22,40,58,0.2508,0.0608,0.0684,0.1674,0.4526,6.5,1,0.5,2.4,2.2,0.369,4.400,0.5,5.7,11.7
First Week of February,23,13,30,47,24,41,58,0.2508,0.0608,0.0684,0.1674,0.4526,6.5,1,0.5,2.4,2.2,0.369,4.400,0.5,5.7,11.7
Second Week of February,24,15,31,47,25,43,61,0.2508,0.0608,0.0684,0.1674,0.4526,6.5,1,0.5,2.4,2.2,0.369,4.400,0.5,5.7,11.7
Third Week of Februrary,25,16,32,48,26,44,62,0.2508,0.0608,0.0684,0.1674,0.4526,6.5,1,0.5,2.4,2.2,0.369,4.400,0.5,5.7,11.7
