Reference Location:,"Cheyenne, WY",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,48,55,62,67,77,87,0.462,0.112,0.126,0.081,0.219,6.4,0,0,1.1,0,0.172,0.000,3.1,8.1,13.1
First Week of September,1,45,53,61,65,75,85,0.4686,0.1136,0.1278,0.0783,0.2117,4.3,0.2,0.1,1,0.5,0.233,5.000,4.1,9.1,14.1
Second Week of September,2,42,51,60,62,73,84,0.4686,0.1136,0.1278,0.0783,0.2117,4.3,0.2,0.1,1,0.5,0.233,5.000,4.1,9.1,14.1
Third Week of September,3,39,49,59,58,70,82,0.4686,0.1136,0.1278,0.0783,0.2117,4.3,0.2,0.1,1,0.5,0.233,5.000,4.1,9.1,14.1
Fourth Week of September,4,36,46,56,54,67,80,0.4686,0.1136,0.1278,0.0783,0.2117,4.3,0.2,0.1,1,0.5,0.233,5.000,4.1,9.1,14.1
September/October Transition,5,34,44,54,50,64,78,0.4686,0.1136,0.1278,0.0783,0.2117,4.3,0.2,0.1,1,0.5,0.233,5.000,4.1,9.1,14.1
First Week of October,6,31,41,51,46,61,76,0.429,0.104,0.117,0.0945,0.2555,2.5,0.7,0.5,0.6,1.6,0.240,3.200,5.8,10.8,15.8
Second Week of October,7,29,40,51,43,58,73,0.429,0.104,0.117,0.0945,0.2555,2.5,0.7,0.5,0.6,1.6,0.240,3.200,5.8,10.8,15.8
Third Week of October,8,25,37,49,39,55,71,0.429,0.104,0.117,0.0945,0.2555,2.5,0.7,0.5,0.6,1.6,0.240,3.200,5.8,10.8,15.8
October/November Transition,9,24,36,48,37,53,69,0.429,0.104,0.117,0.0945,0.2555,2.5,0.7,0.5,0.6,1.6,0.240,3.200,5.8,10.8,15.8
First Week of November,10,21,34,47,34,50,66,0.3828,0.0928,0.1044,0.1134,0.3066,0.6,0.7,1.1,0.2,2.4,0.333,2.182,7.5,12.5,18.5
Second Week of November,11,18,32,46,31,47,63,0.3828,0.0928,0.1044,0.1134,0.3066,0.6,0.7,1.1,0.2,2.4,0.333,2.182,7.5,12.5,18.5
Third Week of November,12,16,30,44,27,44,61,0.3828,0.0928,0.1044,0.1134,0.3066,0.6,0.7,1.1,0.2,2.4,0.333,2.182,7.5,12.5,18.5
Fourth Week of November,13,13,28,43,23,41,59,0.3828,0.0928,0.1044,0.1134,0.3066,0.6,0.7,1.1,0.2,2.4,0.333,2.182,7.5,12.5,18.5
First Week of December,14,11,27,43,24,40,56,0.3696,0.0896,0.1008,0.1188,0.3212,0.2,0.2,1.2,0,2,0.000,1.667,8.8,13.8,19.8
Second Week of December,15,8,25,42,20,37,54,0.3696,0.0896,0.1008,0.1188,0.3212,0.2,0.2,1.2,0,2,0.000,1.667,8.8,13.8,19.8
Third Week of December,16,7,24,41,19,36,53,0.3696,0.0896,0.1008,0.1188,0.3212,0.2,0.2,1.2,0,2,0.000,1.667,8.8,13.8,19.8
Fourth Week of December,17,6,24,42,20,36,52,0.3696,0.0896,0.1008,0.1188,0.3212,0.2,0.2,1.2,0,2,0.000,1.667,8.8,13.8,19.8
December/January Transition,18,6,24,42,19,35,51,0.3696,0.0896,0.1008,0.1188,0.3212,0.3,0.1,0.9,0,1.5,0.000,1.667,9.7,14.7,20.7
First Week of January,19,7,24,41,21,36,51,0.3696,0.0896,0.1008,0.1188,0.3212,0.3,0.1,0.9,0,1.5,0.000,1.667,9.7,14.7,20.7
Second Week of January,20,9,25,41,22,37,52,0.3696,0.0896,0.1008,0.1188,0.3212,0.3,0.1,0.9,0,1.5,0.000,1.667,9.7,14.7,20.7
Third Week of January,21,7,24,41,22,37,52,0.3696,0.0896,0.1008,0.1188,0.3212,0.3,0.1,0.9,0,1.5,0.000,1.667,9.7,14.7,20.7
January/February Transition,22,6,24,42,19,36,53,0.3432,0.0832,0.0936,0.1296,0.3504,0.3,0.4,1,0.1,1.9,0.333,1.900,8.7,13.7,19.7
First Week of February,23,7,24,41,21,37,53,0.3432,0.0832,0.0936,0.1296,0.3504,0.3,0.4,1,0.1,1.9,0.333,1.900,8.7,13.7,19.7
Second Week of February,24,8,24,40,20,37,54,0.3432,0.0832,0.0936,0.1296,0.3504,0.3,0.4,1,0.1,1.9,0.333,1.900,8.7,13.7,19.7
Third Week of Februrary,25,8,24,40,21,38,55,0.3432,0.0832,0.0936,0.1296,0.3504,0.3,0.4,1,0.1,1.9,0.333,1.900,8.7,13.7,19.7
