Team,Region
AKRN,OH North
APST,NC West
ARK,AR
ARMY,NY South
ARST,TN West
AUB,AL
AZST,AZ
BALL,IN
BAMA,AL
BAYL,TX North
BC,MA
BGSU,MI Lower
BOIS,ID
BUFF,NY Northwest
BYU,UT
CAL,CA Central
CCU,NC East
CHAR,NC West
CINC,OH South
CLEM,SC
CMU,MI Lower
COLO,CO
CONN,CT
CSU,WY
CUSE,NY Northwest
DUKE,NC Central
ECU,NC East
EMU,MI Lower
FAU,FL South
FIU,FL South
FLA,FL North
FRES,CA Central
FSU,FL Pan
GASO,GA South
GAST,GA North
GT,GA North
HAWI,HI
IAST,IA
ILLI,IN
IND,IN
IOWA,IA
JST,AL
JMU,VA West
KANS,MO West
KENT,OH North
KNSW,GA North
KSST,MO West
LOU,KY
LSU,LA South
LT,LA North
LU,VA West
MASS,MA
MEMP,TN West
MIAF,FL South
MIAO,OH South
MICH,MI Lower
MINN,MN
MISS,TN West
MIST,MI Lower
MIZZ,MO East
MRSH,WV
MSST,AL
MTSU,TN East
NAVY,MD
NCST,NC Central
ND,IL
NEB,NE
NEV,NV North
NIU,IL
NMSU,TX West
NW,IL
ODU,VA East
OHIO,WV
OHST,OH South
OKLA,OK
OKST,OK
OREG,OR
ORST,OR
PITT,PA West
PNST,PA West
PURD,IN
RICE,TX Coast
RUTG,NJ
SDSU,CA South
SHSU,TX Coast
SJSU,CA Central
SMU,TX North
SOCA,SC
STAN,CA Central
TAMU,TX Coast
TCU,TX North
TEMP,PA Southeast
TENN,TN East
TEX,TX Central
TLDO,MI Lower
TLNE,LA South
TROY,AL
TTU,TX Northwest
TULS,OK
TXST,TX Central
UAB,AL
UCF,FL Central
UCLA,CA South
UGA,GA North
UHOU,TX Coast
UKEN,KY
ULL,LA South
ULM,LA North
UMD,MD
UNC,NC Central
UNLV,NV South
UNM,NM
UNT,TX North
USA,LA South
USAF,CO
USC,CA South
USF,FL Central
USM,MS
UTAH,UT
UTEP,TX West
UTSA,TX Central
UTST,UT
UVA,VA East
VAND,TN East
VT,VA West
WAKE,NC West
WASH,WA West
WAST,WA East
WISC,WI
WKU,KY
WMU,MI Lower
WVU,PA West
WYOM,WY
ZONA,AZ
