Team,Region
AAMU,AL
ALCN,MS
ALST,AL
BCU,FL North
BRWN,RI
BUCK,PA North
CIT,GA South
COLG,PA North
COLU,NY South
COR,PA North
CP,CA South
DART,VT
ETSU,TN East
EWU,WA East
FAMU,FL Pan
FOR,NY South
FUR,NC West
GEOT,MD
GRAM,LA North
HARV,MA
HC,MA
IDHO,WA East
IDST,UT
ILST,IL
INST,IN
JXST,MS
LAF,PA Southeast
LEH,PA Southeast
MER,GA South
MONT,MT
MOST,MO West
MSVU,MS
MTST,MT
MUR,TN West
NAU,AZ
NDSU,ND
PENN,PA Southeast
PRIN,NJ
PRST,OR
PV,TX Coast
SAM,AL
SDAK,SD
SDST,SD
SIU,MO East
SOU,LA South
SSU,CA Central
TXSO,TX Coast
UAPB,AR
UCD,CA Central
UNCO,WY
UND,ND
UNI,IA
UTC,TN East
VMI,VA East
WCU,TN East
WEB,UT
WIU,MO East
WOF,NC West
YALE,CT
YSU,OH North
