id,depth_chart_id,Position,Position Level,First Name,Last Name,Original Position
206,206,QB,1,,,QB
206,206,QB,2,,,QB
206,206,QB,3,,,QB
206,206,RB,1,,,RB
206,206,RB,2,,,RB
206,206,RB,3,,,RB
206,206,FB,1,,,FB
206,206,FB,2,,,FB
206,206,TE,1,,,TE
206,206,TE,2,,,TE
206,206,TE,3,,,TE
206,206,WR,1,,,WR
206,206,WR,2,,,WR
206,206,WR,3,,,WR
206,206,WR,4,,,WR
206,206,WR,5,,,WR
206,206,WR,6,,,WR
206,206,WR,7,,,WR
206,206,LT,1,,,OT
206,206,LT,2,,,OT
206,206,LG,1,,,OG
206,206,LG,2,,,OG
206,206,C,1,,,C
206,206,C,2,,,C
206,206,RG,1,,,OG
206,206,RG,2,,,OG
206,206,RT,1,,,OT
206,206,RT,2,,,OT
206,206,LE,1,,,DE
206,206,LE,2,,,DE
206,206,DT,1,,,DT
206,206,DT,2,,,DT
206,206,DT,3,,,DT
206,206,DT,4,,,DT
206,206,RE,1,,,DE
206,206,RE,2,,,DE
206,206,LOLB,1,,,OLB
206,206,LOLB,2,,,OLB
206,206,MLB,1,,,ILB
206,206,MLB,2,,,ILB
206,206,MLB,3,,,ILB
206,206,MLB,4,,,OLB
206,206,ROLB,1,,,OLB
206,206,ROLB,2,,,OLB
206,206,CB,1,,,CB
206,206,CB,2,,,CB
206,206,CB,3,,,CB
206,206,CB,4,,,CB
206,206,CB,5,,,CB
206,206,FS,1,,,FS
206,206,FS,2,,,FS
206,206,SS,1,,,SS
206,206,SS,2,,,SS
206,206,P,1,,,P
206,206,P,2,,,P
206,206,PR,1,,,RB
206,206,PR,2,,,CB
206,206,K,1,,,K
206,206,K,2,,,P
206,206,KR,1,,,RB
206,206,KR,2,,,CB
206,206,FG,1,,,QB
206,206,FG,2,,,QB
206,206,STU,1,,,ILB
206,206,STU,2,,,CB
206,206,STU,3,,,DE
206,206,STU,4,,,OLB
206,206,STU,5,,,CB
206,206,STU,6,,,OLB
206,206,STU,7,,,OLB
206,206,STU,8,,,DE
206,206,STU,9,,,FB
206,206,STU,10,,,WR
206,206,STU,11,,,WR
206,206,STU,12,,,TE
206,206,STU,13,,,FB
206,206,STU,14,,,WR
206,206,STU,15,,,WR
